lo,hi,n,mean,std,sharpe,win_rate
0.5,0.8,1355,-0.04004960181991623,0.8178881688571861,-0.04896708785490381,0.596309963099631
0.7,0.96,556,-0.02488085056914506,0.5077434178842657,-0.04900280277944709,0.7967625899280576
0.5,0.9,1514,-0.03888206255500341,0.7870916159151377,-0.049399665513900716,0.6208718626155878
0.52,0.78,1103,-0.039560599026150105,0.7965305653628186,-0.04966614056816552,0.6065276518585675
0.52,0.96,1411,-0.03648111285199116,0.7308602382974578,-0.04991530656664819,0.6598157335223246
0.52,0.72,914,-0.0418708957759174,0.8329571494701636,-0.050267766838367485,0.5798687089715536
0.5,0.82,1398,-0.040767278210663796,0.8103922626094028,-0.050305611358376245,0.6015736766809728
0.5,0.88,1495,-0.04005834893594783,0.7915029415275179,-0.05061048649881124,0.6167224080267558
0.5,0.86,1461,-0.0410456437019111,0.7986440704020495,-0.05139416321121385,0.6105407255304586
0.52,0.94,1378,-0.038373126649146945,0.7394554508981529,-0.05189376398880881,0.6516690856313497
0.5,0.84,1432,-0.04192794522230565,0.8046038412915507,-0.05211004853643612,0.6054469273743017
0.52,0.7,855,-0.04402467522539752,0.8448211239888259,-0.052111238669713726,0.5707602339181287
0.72,0.96,497,-0.026569117696118773,0.49028880732712365,-0.05419074900152003,0.806841046277666
0.52,0.92,1346,-0.04078699734440991,0.7480254494173445,-0.05452621615505182,0.6433878157503715
0.52,0.8,1162,-0.04325948274028243,0.7868058492792779,-0.05498114023924524,0.6118760757314974
0.54,0.66,604,-0.04625664308786775,0.8412389221932357,-0.05498633250024828,0.5695364238410596
0.52,0.9,1321,-0.04153501225321488,0.7539403003060918,-0.055090585071990585,0.6381529144587433
0.7,0.94,523,-0.029133979359100597,0.5232231060702737,-0.05568175224124684,0.7839388145315488
0.52,0.82,1205,-0.04397756300143542,0.778895423373095,-0.05646144743152501,0.6174273858921162
0.52,0.88,1302,-0.0429243779857632,0.7587284101689247,-0.056574101365476005,0.6336405529953917
0.52,0.86,1268,-0.04413879647217176,0.7664092783486113,-0.05759167812696371,0.6269716088328076
0.52,0.84,1239,-0.04523093304000273,0.7728123467002445,-0.05852770498961339,0.6214689265536724
0.8,0.92,184,-0.025172714572649815,0.4282163713742933,-0.05878503545266599,0.842391304347826
0.96,1.0,324,-0.0033679284770214424,0.056974834179394584,-0.05911256303821734,0.36728395061728397
0.78,0.96,308,-0.025452952949077807,0.4180844888336472,-0.060879926495444214,0.8506493506493507
0.72,0.94,464,-0.031483124533051694,0.507062462051721,-0.06208924321800886,0.7931034482758621
0.68,0.76,258,-0.04108618503648855,0.6329681280675912,-0.06491035364122028,0.7015503875968992
0.8,0.9,159,-0.02893227825338796,0.4451717430305206,-0.064991272933072,0.8301886792452831
0.7,0.92,491,-0.035149085759390755,0.5394538333718086,-0.0651568004247824,0.769857433808554
0.68,1.0,945,-0.028723751614602815,0.4358270946974632,-0.06590630083368702,0.6338624338624339
