slug,question,age_h,volume,y_bid,y_ask,n_bid,n_ask,ask_sum,bid_sum,buy_arb_gross,buy_arb_net,sell_arb_gross,max_pair_size,end_date
ethereum-above-2300-on-april-21-2026-3am-et,"Ethereum above 2,300 on April 21, 3AM ET?",0.56,0.0,0.94,0.98,0.02,0.06,1.04,0.96,-0.04,-0.0556,-0.04,5.29,2026-04-21T07:00:00Z
ethereum-above-2285-on-april-21-2026-3am-et,"Ethereum above 2,285 on April 21, 3AM ET?",0.56,0.0,0.976,0.997,0.003,0.024,1.021,0.979,-0.021,-0.0363,-0.021,7.68,2026-04-21T07:00:00Z
ethereum-above-2270-on-april-21-2026-3am-et,"Ethereum above 2,270 on April 21, 3AM ET?",0.57,100.0,0.11,0.0,0.0,0.89,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2255-on-april-21-2026-3am-et,"Ethereum above 2,255 on April 21, 3AM ET?",0.57,100.0,0.11,0.0,0.0,0.89,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2240-on-april-21-2026-3am-et,"Ethereum above 2,240 on April 21, 3AM ET?",0.57,207.0,0.56,0.0,0.0,0.44,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77800-on-april-21-2026-3am-et,"Bitcoin above 77,800 on April 21, 3AM ET?",0.57,0.0,0.0,0.001,0.999,0.0,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77400-on-april-21-2026-3am-et,"Bitcoin above 77,400 on April 21, 3AM ET?",0.57,0.0,0.0,0.001,0.999,0.0,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-77000-on-april-21-2026-3am-et,"Bitcoin above 77,000 on April 21, 3AM ET?",0.57,0.0,0.001,0.045,0.955,0.999,1.044,0.956,-0.044,-0.0597,-0.044,150.0,2026-04-21T07:00:00Z
bitcoin-above-76600-on-april-21-2026-3am-et,"Bitcoin above 76,600 on April 21, 3AM ET?",0.57,0.0,0.001,0.045,0.955,0.999,1.044,0.956,-0.044,-0.0597,-0.044,240.0,2026-04-21T07:00:00Z
bitcoin-above-76200-on-april-21-2026-3am-et,"Bitcoin above 76,200 on April 21, 3AM ET?",0.57,0.0,0.002,0.056,0.944,0.998,1.054,0.946,-0.054,-0.0698,-0.054,240.0,2026-04-21T07:00:00Z
bitcoin-above-75400-on-april-21-2026-3am-et,"Bitcoin above 75,400 on April 21, 3AM ET?",0.57,0.0,0.96,0.99,0.01,0.04,1.03,0.97,-0.03,-0.0455,-0.03,5.2,2026-04-21T07:00:00Z
bitcoin-above-75000-on-april-21-2026-3am-et,"Bitcoin above 75,000 on April 21, 3AM ET?",0.57,0.0,0.1,0.0,0.0,0.9,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-74600-on-april-21-2026-3am-et,"Bitcoin above 74,600 on April 21, 3AM ET?",0.57,0.0,0.1,0.0,0.0,0.9,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-74200-on-april-21-2026-3am-et,"Bitcoin above 74,200 on April 21, 3AM ET?",0.57,0.0,0.55,0.0,0.0,0.45,,,,,,0.0,2026-04-21T07:00:00Z
bitcoin-above-73800-on-april-21-2026-3am-et,"Bitcoin above 73,800 on April 21, 3AM ET?",0.57,0.0,0.99,0.0,0.0,0.01,,,,,,0.0,2026-04-21T07:00:00Z
hype-updown-15m-1776835800,"Hyperliquid Up or Down - April 22, 1:30AM-1:45AM ET",0.62,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,157.0,2026-04-22T05:45:00Z
